UserID,MovieID,Pred_rating
1,1405,2.026159223839091
1,2968,2.418413095282678
1,1172,2.7033649394568284
1,2193,2.12399697079604
2,52,3.1322456164040533
2,371,2.782110147819142
2,144,2.957330058601169
2,314,3.293896883053937
2,616,2.9899461260124554
2,537,2.4418135536135
2,720,3.492563031105343
2,319,3.3984730556730636
2,372,2.7092359991516006
2,550,2.7365287081089464
2,248,2.6182859574214006
2,661,3.071886349470927
2,370,2.620548973918016
2,485,2.480343364592036
2,382,2.858761589768135
2,405,1.8639691440265254
3,8636,3.054545116362478
3,1721,2.832462209628776
3,736,2.7149298805780147
3,595,3.1359088358960943
3,44191,3.3828095267533795
3,377,2.986475955877749
3,2716,3.162139894600208
3,5349,2.9409105746468764
3,1197,3.46621114005103
3,592,2.844535895690316
4,435,2.4959970764839365
4,3255,3.6996313888442947
4,596,3.75252397095097
4,185,3.22178838265073
4,594,3.776984063894541
4,1858,2.7547902552638392
4,1580,3.7720592859552258
4,4006,4.0019117616734015
4,3263,3.688671201012694
4,1032,3.659624320640242
4,616,3.6019595091394825
4,3108,3.7327330890012216
4,364,3.8678930772071354
4,610,3.4295592095526097
4,1334,3.194445209095735
4,2081,3.81663711285766
4,919,4.17156214724705
4,588,3.7918069463656656
4,1033,3.461152327065343
4,3034,3.91037554590653
4,410,3.320502962022987
4,357,3.8024398274975035
4,356,4.195402023912874
4,2087,3.773935239267411
4,2085,3.4973719503301437
4,2078,3.8452701426247806
4,1282,3.9482891928444976
4,2141,3.591063475995673
4,1967,3.8238934094883836
4,1372,3.367414013436391
4,442,3.0388172386092416
4,589,4.101245111855885
4,2454,3.7430568346151647
4,2102,4.325559958139395
4,2033,3.0942952334063136
4,440,3.7490370898730765
4,1022,3.6815874734816303
4,2124,3.467770584487818
4,2094,3.2351880161074655
4,1028,4.007526411069849
4,2096,3.91070354223558
5,6373,2.898706766238599
5,2770,2.76616807731581
5,3,2.7477786470326997
5,33679,2.904518320751883
5,4025,2.6591082918466222
5,4718,2.661516405991234
5,1997,3.3790313876452
5,1485,2.877765237007093
5,1247,3.826137681510265
5,788,2.8431909260422823
5,30749,3.766105379632357
5,1777,3.037948287162861
5,8376,2.8627569821928924
5,4447,2.8105471633452774
5,104,3.0081834281962
5,5995,3.860167445528112
5,1544,2.73062989352867
5,4018,2.895676936382264
5,39,3.2601092579554414
5,5266,2.9985537240494207
6,4975,2.5593352827194673
6,2723,2.540754100627322
6,173,2.0341237916472457
6,2528,2.5979524584267635
6,3300,2.5758965228915187
6,4641,3.018171836161381
6,2019,3.346092641427984
6,2072,2.3838239683618285
6,1687,2.4083238785688
7,1129,2.7948697023630693
7,1371,2.659703419497302
7,1198,3.475457991800745
7,1374,3.1135451768112414
7,1376,2.881047597872448
7,1275,2.9065858672359335
7,377,2.9752096215706763
7,1373,2.2506552919467477
7,316,2.860822250755178
7,380,2.9280634446459297
7,1408,3.0447809114759923
7,1240,3.273401083352473
7,260,3.4783032852999813
7,1372,2.700125560225241
7,1375,2.797459068900823
7,589,3.2887038313827213
7,480,3.072647846890498
7,1036,3.231419184653647
8,3996,3.4668345124412054
8,2804,3.609997567473357
8,1258,3.6178098832831758
8,1358,3.4566959570451026
